denomination,pays,ville,codePostal,addresse,identifiantNational,datePremierePublication,secteurs,niveaux
CHAMBRE COMMERCE INDUSTRIE DE LA DROME,FRANCE,VALENCE CEDEX,26010,FRANCE 26010 VALENCE CEDEX,182630012,29/08/2017,"Economie | Education, enseignement supérieur, formation | Recherche, innovation | Gouvernance d’entreprise | Environnement",Local
GRTGAZ,FRANCE,BOIS COLOMBES CEDEX,92277,FRANCE 92277 BOIS COLOMBES CEDEX,440117620,08/08/2017,"Energie | Environnement | Transports, logistique",National | Européen
MUTUALITE FRANCAISE DE LA REUNION,FRANCE,ST DENIS,97400,FRANCE 97400 ST DENIS,815119748,08/08/2017,"Banques, assurances, secteur financier | Travail, emploi, solidarité | Outre-mer | Santé, sécurité sociale",Local | National
ASSO FRANCAISE INVESTISSEURS EN CAPITAL,FRANCE,PARIS,75008,FRANCE 75008 PARIS,349165779,31/08/2017,"Banques, assurances, secteur financier | Economie | Recherche, innovation | Fiscalité, finances publiques | Environnement",Local | National | Européen | Mondial
FEDER BATIMENT REGION BOURGOGN,FRANCE,DIJON CEDEX,21024,FRANCE 21024 DIJON CEDEX,778213108,16/08/2017,"Economie | Travail, emploi, solidarité | Numérique | Logement, aménagement du territoire, urbanisme",Local
KEOLIS,FRANCE,PARIS CEDEX 09,75320,FRANCE 75320 PARIS CEDEX 09,552111809,28/08/2017,"Transports, logistique",Local | National | Européen | Mondial
ASSOCIATION NATIONALE DE PREVENTION EN ALCOOLOGIE ET ADDICTOLOGIE,FRANCE,PARIS,75002,FRANCE 75002 PARIS,775660087,31/08/2017,"Santé, sécurité sociale | Questions de société",Local | National | Européen
MOUVEMENT DES ENTREPRISES DE FRANCE,FRANCE,PARIS CEDEX 07,75330,FRANCE 75330 PARIS CEDEX 07,784668618,07/08/2017,"Concurrence, consommation | Economie | Travail, emploi, solidarité | Fiscalité, finances publiques | Gouvernance d’entreprise",National | Européen | Mondial
FEDERATION FRANCAISE DU BATIMENT,FRANCE,PARIS CEDEX 16,75784,FRANCE 75784 PARIS CEDEX 16,784668642,30/08/2017,"Fiscalité, finances publiques | Numérique | Santé, sécurité sociale | Logement, aménagement du territoire, urbanisme | Concurrence, consommation",Local | National | Européen
SOCIETE NATIONALE D'EXPLOITATION INDUSTRIELLE DES TABACS ET ALLUMETTES,FRANCE,PARIS,75014,FRANCE 75014 PARIS,331355263,11/09/2017,"Economie | Fiscalité, finances publiques | Propriété intellectuelle | Santé, sécurité sociale",Local | National | Européen
CONSEIL DU COMMERCE DE FRANCE,FRANCE,PARIS,75008,FRANCE 75008 PARIS,784856528,07/09/2017,"Concurrence, consommation | Economie",Local | National
GRAYLING FRANCE,FRANCE,PARIS,75012,FRANCE 75012 PARIS,330005620,01/09/2017,"Fiscalité, finances publiques | Numérique | Santé, sécurité sociale | Sports, loisirs, tourisme | Transports, logistique",Local | National | Européen | Mondial
ANTHENOR PUBLIC AFFAIRS,FRANCE,PARIS,75008,FRANCE 75008 PARIS,450089107,05/09/2017,"Santé, sécurité sociale | Agriculture, alimentation, pêche | Energie | Environnement | Concurrence, consommation",Local | National | Européen | Mondial
CHAMBRE DE COMMERCE ET D INDUSTRIE DES VOSGES,FRANCE,EPINAL CEDEX,88026,FRANCE 88026 EPINAL CEDEX,188822118,11/08/2017,"Economie | Pouvoirs publics, institutions, fonction publique",Local
RTE RESEAU DE TRANSPORT D'ELECTRICITE,FRANCE,PARIS LA DEFENSE CEDEX,92919,FRANCE 92919 PARIS LA DEFENSE CEDEX,444619258,08/09/2017,Energie | Environnement | Numérique,Local | National | Européen
SYNDICAT NATIONAL DES INDUSTRIES AROMATIQUES ALIMENTAIRES,FRANCE,PUTEAUX,92800,FRANCE 92800 PUTEAUX,315398248,30/08/2017,"Agriculture, alimentation, pêche | Concurrence, consommation",Local | National
ASSOCIATION FRANCAISE DES SOCIETES DE PLACEMENT IMMOBILIER,FRANCE,PARIS,75008,FRANCE 75008 PARIS,304248669,30/08/2017,"Banques, assurances, secteur financier | Economie | Fiscalité, finances publiques | Logement, aménagement du territoire, urbanisme | Professions réglementées",Local | National | Européen
UNICORP,FRANCE,PARIS,75008,FRANCE 75008 PARIS,440889731,16/08/2017,"Banques, assurances, secteur financier | Education, enseignement supérieur, formation | Travail, emploi, solidarité | Energie | Environnement",Local | National | Européen | Mondial
LE CERCLE DE L'INDUSTRIE,FRANCE,PARIS,75008,FRANCE 75008 PARIS,394192389,05/09/2017,"Travail, emploi, solidarité | Energie | Recherche, innovation | Fiscalité, finances publiques | Numérique",Local | National | Européen
FEDERATION NATIONALE DE L'INFORMATION D'ENTREPRISE DE LA GESTION DE CREANCES ET DE L'ENQUETE CIVILE,FRANCE,NANTERRE,92000,FRANCE 92000 NANTERRE,418086252,22/08/2017,"Concurrence, consommation | Economie | Travail, emploi, solidarité | Justice | Numérique",Local | National
OPENCLASSROOMS,France,PARIS 10,75010,France 75010 PARIS 10,493861363,28/08/2017,"Education, enseignement supérieur, formation | Travail, emploi, solidarité | Recherche, innovation | Numérique",Local | National | Européen | Mondial
FEDERATION NATIONALE DES RESERVISTES OPERATIONNELS ET CITOYENS DE LA GENDARMERIE NATIONALE,FRANCE,PARIS,75002,FRANCE 75002 PARIS,419508379,15/08/2017,"Affaires étrangères, coopération internationale | Défense, sécurité | Education, enseignement supérieur, formation | Justice | Pouvoirs publics, institutions, fonction publique",Local | National | Européen | Mondial
UNION NATIONALE DES ORGANISMES D ASSURANCE MALADIE COMPLEMENTAIRE,FRANCE,PARIS,75006,FRANCE 75006 PARIS,488509191,05/09/2017,"Fiscalité, finances publiques | Pouvoirs publics, institutions, fonction publique | Santé, sécurité sociale | Banques, assurances, secteur financier | Concurrence, consommation",National
SOC VELUX FRANCE,FRANCE,MORANGIS,91420,FRANCE 91420 MORANGIS,970200044,01/09/2017,"Logement, aménagement du territoire, urbanisme",National
EUROSTAR INTERNATIONAL LIMITED,ROYAUME-UNI,Londres,N19AW,ROYAUME-UNI N19AW Londres,525010708,07/08/2017,"Questions migratoires | Transports, logistique",Local | National | Européen
FEDERATION NATIONALE TRANSPORT VOYAGEURS,FRANCE,PARIS,75009,FRANCE 75009 PARIS,393264379,23/08/2017,"Transports, logistique",Local | National | Européen
TRANSPARENCY INTERNATIONAL FRANCE,FRANCE,PARIS,75010,FRANCE 75010 PARIS,425138393,31/08/2017,"Banques, assurances, secteur financier | Gouvernance d’entreprise | Justice | Numérique | Pouvoirs publics, institutions, fonction publique",Local | National | Européen
PIERRE FABRE SA,FRANCE,PARIS,75008,FRANCE 75008 PARIS,662006170,04/09/2017,"Concurrence, consommation | Recherche, innovation | Santé, sécurité sociale",National | Européen | Mondial
BOMBARDIER TRANSPORT FRANCE S.A.S,FRANCE,CRESPIN,59154,FRANCE 59154 CRESPIN,698800935,07/09/2017,"Travail, emploi, solidarité | Recherche, innovation | Transports, logistique",Local | National
TRANSDEV GROUP,FRANCE,ISSY LES MOULINEAUX CEDEX,92442,FRANCE 92442 ISSY LES MOULINEAUX CEDEX,521477851,29/08/2017,"Gouvernance d’entreprise | Environnement | Numérique | Transports, logistique",Local | National | Européen | Mondial
TELEVISION FRANCAISE 1,FRANCE,BOULOGNE BILLANCOURT CEDEX,92656,FRANCE 92656 BOULOGNE BILLANCOURT CEDEX,326300159,31/08/2017,"Médias, industries culturelles | Numérique | Propriété intellectuelle",National | Européen
ASSOCIATION FRANÇAISE DES COURTIERS ET PRESTATAIRES DE SERVICES D'INVESTISSEMENT (AFCOPSI),FRANCE,PARIS 8E,75008,FRANCE 75008 PARIS 8E,W751233653,31/08/2017,"Banques, assurances, secteur financier | Numérique | Communications électroniques",National
UNION DES EMPLOYEURS DE L'ECONOMIE SOCIALE ET SOLIDAIRE,FRANCE,PARIS,75012,FRANCE 75012 PARIS,410168512,16/08/2017,"Economie | Travail, emploi, solidarité | Santé, sécurité sociale",Local | National | Européen
ABBVIE,FRANCE,RUNGIS CEDEX 1,94528,FRANCE 94528 RUNGIS CEDEX 1,750775660,31/08/2017,"Recherche, innovation | Santé, sécurité sociale",National
UNION  TRANSPORTS PUBLICS FERROVIAIRES,FRANCE,PARIS,75008,FRANCE 75008 PARIS,784408643,05/09/2017,"Concurrence, consommation | Travail, emploi, solidarité | Fiscalité, finances publiques | Numérique | Transports, logistique",Local | National | Européen
ROHDE PUBLIC POLICY,FRANCE,PARIS,75008,FRANCE 75008 PARIS,752026054,18/08/2017,"Education, enseignement supérieur, formation | Travail, emploi, solidarité | Numérique | Santé, sécurité sociale | Questions de société",Local | National | Européen
CHAMBRE SYNDICAL DES LOUEURS,FRANCE,LEVALLOIS PERRET,92300,FRANCE 92300 LEVALLOIS PERRET,785388356,23/08/2017,"Environnement | Numérique | Transports, logistique",Local | National
FRANCE HYDRO ELECTRICITE GPAE ECOWATT,FRANCE,PARIS,75008,FRANCE 75008 PARIS,420030967,25/08/2017,"Fiscalité, finances publiques | Energie | Logement, aménagement du territoire, urbanisme | Environnement | Pouvoirs publics, institutions, fonction publique",National | Européen | Local
ROCHE,FRANCE,BOULOGNE BILLANCOURT CEDEX,92650,FRANCE 92650 BOULOGNE BILLANCOURT CEDEX,552012031,31/08/2017,"Recherche, innovation | Santé, sécurité sociale",National
MUTUALITE FRANCAISE DE GUYANE,FRANCE,CAYENNE,97300,FRANCE 97300 CAYENNE,501896336,11/09/2017,"Banques, assurances, secteur financier | Travail, emploi, solidarité | Outre-mer | Santé, sécurité sociale",Local | National
GRDF,FRANCE,PARIS CEDEX 09,75436,FRANCE 75436 PARIS CEDEX 09,444786511,17/08/2017,"Economie | Energie | Environnement | Logement, aménagement du territoire, urbanisme | Transports, logistique",Local | National
GPT DES INDUSTRIELS ET FABRICANTS  OPTIQUE,FRANCE,PARIS,75012,FRANCE 75012 PARIS,784358012,31/08/2017,"Commerce extérieur | Concurrence, consommation | Recherche, innovation | Propriété intellectuelle | Santé, sécurité sociale",Local | National | Européen
IMAGE 7,FRANCE,PARIS,75017,FRANCE 75017 PARIS,532572112,31/08/2017,"Economie | Fiscalité, finances publiques | Logement, aménagement du territoire, urbanisme | Médias, industries culturelles | Numérique",Local | National | Européen | Mondial
ASSOCIATION NAT SOCIETES PAR ACTIONS,FRANCE,PARIS,75017,FRANCE 75017 PARIS,784718561,29/08/2017,"Banques, assurances, secteur financier | Fiscalité, finances publiques | Gouvernance d’entreprise",National | Européen
SYND NAT FABRI COMMER PRODU USAGE PHARMA,FRANCE,PARIS,75008,FRANCE 75008 PARIS,313104382,28/08/2017,"Santé, sécurité sociale",National
BRISTOL MYERS SQUIBB,FRANCE,RUEIL MALMAISON CEDEX,92506,FRANCE 92506 RUEIL MALMAISON CEDEX,562011742,05/09/2017,"Recherche, innovation | Santé, sécurité sociale",Local | National
UNION NATION INDUSTR AMEUBL,,PARIS 11,75011, 75011 PARIS 11,784522559,05/09/2017,"Concurrence, consommation | Education, enseignement supérieur, formation | Travail, emploi, solidarité | Environnement | Santé, sécurité sociale",National | Européen
NOVARTIS PHARMA SAS,FRANCE,RUEIL MALMAISON CEDEX,92506,FRANCE 92506 RUEIL MALMAISON CEDEX,410349070,25/08/2017,"Recherche, innovation | Santé, sécurité sociale",National
